Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
92,18,40,34,0,3,0,3,0,0,1,0,35,12,28,0,0,9,2,4,3,61,0,1,3,0,8,1,48,3,2,2,171,73,98,4
99,20,43,36,1,4,3,1,0,0,0,0,9,1,26,0,0,9,4,5,0,55,0,0,10,0,2,0,43,8,0,6,186,100,86,6
14,1,2,11,0,0,0,0,0,0,0,0,3,5,9,0,0,1,0,0,1,20,0,0,2,3,3,0,12,6,0,1,12,7,5,1
57,10,25,22,3,7,2,5,0,0,0,0,11,7,19,0,0,5,0,4,1,37,0,0,5,1,4,0,27,3,0,3,87,36,51,3
1920,502,912,506,13,47,19,4,23,1,39,0,,66,1271,0,0,95,59,32,2,1551,0,0,293,0,167,0,1088,266,97,59,282,205,77,110
6,0,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,9,0,0,2,1,1,0,5,0,0,2,3,2,1,1
137,21,67,49,3,24,12,12,0,0,1,0,33,20,67,0,0,19,8,4,7,173,1,0,34,16,21,2,99,15,1,5,152,75,77,8
36,12,21,3,0,1,0,1,0,0,1,0,7,5,24,0,0,3,0,3,0,11,0,0,0,0,0,0,10,0,0,3,49,24,25,2
73,9,35,29,3,7,6,1,0,0,0,0,27,2,37,0,0,11,10,0,1,104,0,0,5,4,17,2,76,4,0,8,102,53,49,3
22,3,18,1,0,4,2,1,0,1,1,0,,4,20,0,0,2,0,2,0,34,0,0,22,1,1,1,9,4,0,0,74,63,11,2
27,2,9,16,0,0,0,0,0,0,0,0,1,1,14,0,0,1,0,1,0,21,0,0,2,3,2,1,13,0,0,0,20,8,12,0
9,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,5,0,0,0,0,0,0,5,0,0,2,25,16,9,1
17,2,13,2,0,3,2,0,1,0,0,0,11,0,3,0,0,0,0,0,0,11,0,0,0,1,0,1,9,1,0,3,21,13,8,2
985,225,361,399,15,95,73,13,6,0,6,0,175,89,329,21,0,338,133,139,66,1760,0,0,596,32,300,3,827,105,21,37,924,515,409,23
0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,1,0,8,0,0,0,0,1,0,7,1,0,1,8,8,0,0
572,118,354,100,3,17,12,1,4,0,2,0,109,62,48,0,0,156,8,110,38,738,0,0,84,0,23,0,629,56,9,13,635,379,256,22
19,1,16,2,4,1,1,0,0,0,0,0,7,1,1,0,0,0,0,0,0,7,0,0,0,0,1,0,6,1,0,0,4,2,2,0
561,159,175,227,2,22,14,1,7,0,0,0,223,53,280,0,1,77,10,48,18,956,1,2,33,14,30,9,867,60,23,4,237,139,98,28
